Albert, -373.545580, 1231.338318
Alex, -375.773794, -357.190003
Alfred, -324.303010, -845.823189
Alice, -341.876249, -73.046044
Alison, 134.585880, -384.289290
Ames, -446.043988, -877.609278
Andy, -108.623310, -623.061178
Arc, 509.330854, 169.616572
Ashleigh, 513.019927, 29.986447
Athena, 332.263096, -596.941141
Ava, -103.413287, 124.045032
Bari, -694.632276, 799.048049
Barney, 391.158151, -605.471771
Ben, -588.341773, 788.769462
Bennie, -247.636189, 64.884956
Beth, -140.306748, -672.352113
Bix, 48.766199, -694.574638
Bosco, 100.114237, -11.933458
Brian, -894.016948, 331.160476
Bruce, -907.879419, 254.293565
Cara-Ann, -36.356600, 102.386407
Carmine, 265.332894, 423.965230
Charlie, -23.041475, 721.528459
Chris, -637.279282, 19.534234
Christine, -61.928766, 809.473707
Chronos, -19.097119, 1032.491062
Clay, -564.234504, 306.703196
Colin, -599.632158, 232.353390
Cora, -458.415622, 1149.132896
Coz, -170.951251, -379.121085
Cyril, -410.444372, -733.026593
Damon, -291.973677, -1120.706132
Dave, -466.424505, 7.141386
Dean, -273.395684, 1298.326760
Dennis, 309.825440, -673.526074
Dolly, 325.674950, 69.929724
Drew, 33.659612, -371.911029
Eamon, -329.409980, -475.990736
Eric, 336.113800, 402.193682
Fern, -341.215742, -599.645428
Fiona, 9.562129, 1153.631117
Gregory, 207.808572, -660.387479
Hammer, -154.255766, -607.871848
Hannah, -842.343895, 205.581957
Iona, -692.461160, 419.214080
Jack, -323.049781, -1032.337883
Janet, -549.089363, -98.050458
Janna, -99.394655, -959.552111
Jazz, 277.737044, 316.961464
Jocelyn, -225.170914, 325.608487
Joe, 213.980944, 251.761050
Joel, -135.188232, -60.179554
John, -695.251126, -240.520858
Jules, -636.414821, -151.795333
Kacia, -228.434939, -584.047670
Kathy, -520.962984, 223.962010
Kiki, -323.715988, 653.491232
Kitty, 441.208993, 88.551061
Kristen, -386.074596, -980.198178
Lana, -366.970030, 980.041891
Lincoln, 120.651325, -486.070278
Lizzie, 235.842205, -784.430398
Lou, -202.873533, 896.334642
Louise, -160.224677, 1291.001897
Lulu, 358.298701, 207.441532
Lupa, -91.533088, 45.547230
 M , 232.355427, -499.204888
Marc, 194.213682, -413.483270
Marty, -234.511654, -95.678253
Melora, -440.373995, 912.955712
Michael, -9.507656, -1068.160754
Mildred, -39.983976, 1253.254967
Miles, -187.276243, -1040.230278
Miranda, -453.283590, 1027.468210
Molly, -731.156080, 181.021260
Nair, -539.997974, 1039.538756
Noreen, -802.840457, 295.127592
O'Brien, 254.913611, -409.152818
Pamela, -586.157077, 143.991261
Polly, -72.465285, -1083.803107
Portia, -288.388379, -716.529600
Quinn, -613.018860, 876.269375
Ramsey, -462.377205, 1320.648817
Rebecca, -493.871598, -462.209741
Rhea, -147.339694, 197.127990
Rob, -68.575155, -342.745317
Rolph, 13.518951, 861.610992
Roxy, -329.313988, 752.719364
Samburu Warrior, 86.937871, 412.508560
Sammy, -436.954267, -31.311394
Sasha, -76.903098, -488.772322
Scotty, -398.098690, 28.837042
Stella, -733.525828, 485.147140
Stephanie, -412.999946, 132.567959
Susan, -308.800226, -955.509702
Ted, -163.585571, -843.335395
Tessa, -466.356688, -630.753518
The General, 474.333988, 247.158918
Tim, -512.869008, 853.434480
Timothy, 19.476524, -1009.244759
Tom, 194.395111, -350.176358
Tor, -718.257209, 935.211680
Trudy, -54.307160, -1010.659116
Yvette, -757.249272, 428.220270
